股票代碼,公司簡稱,當月營收(千元),上月營收(千元),去年當月營收(千元),上月比較增減(%),去年同月增減(%),當月累計營收(千元),去年累計營收(千元),前期比較增減(%),備註
1452,宏益,"163,407","138,122","101,889",18.30,60.37,"633,533","444,480",42.53,因上期市場需求疲弱，致本期營業收入淨額較去年同期增加。
1454,台富,"145,077","148,545","154,835",-2.33,-6.30,"683,747","637,874",7.19,無
1455,集盛,"973,678","817,223","610,678",19.14,59.44,"4,034,519","3,007,968",34.12,因需求回歸正常水準，去年同期比較基期較低，故本月比去年同期增加59.44%。
1465,偉全,"41,597","43,284","66,810",-3.89,-37.73,"196,210","243,494",-19.41,無
1476,儒鴻,"3,325,039","2,869,276","2,601,391",15.88,27.81,"13,826,996","11,635,656",18.83,無
1477,聚陽,"2,712,528","2,234,278","2,325,560",21.40,16.63,"13,554,834","12,258,680",10.57,無
1560,中砂,"613,850","542,913","546,335",13.06,12.35,"2,751,941","2,618,002",5.11,無
3167,大量,"163,728","152,758","88,461",7.18,85.08,"715,297","429,435",66.56,主係因客戶需求量增加所致
8374,羅昇,"270,002","241,115","269,950",11.98,0.01,"1,213,525","1,345,605",-9.81,無
1605,華新,"15,678,448","15,224,411","17,711,337",2.98,-11.47,"71,442,885","84,639,034",-15.59,無
1611,中電,"100,324","103,854","108,068",-3.39,-7.16,"488,117","533,923",-8.57,無
1773,勝一,"884,914","869,356","790,846",1.78,11.89,"4,403,250","3,992,980",10.27,無
4755,三福化,"379,688","416,330","433,210",-8.80,-12.35,"1,928,130","2,005,423",-3.85,無
4770,上品,"640,768","433,510","569,141",47.80,12.58,"2,553,495","2,778,446",-8.09,無
1783,和康生,"64,971","52,055","56,153",24.81,15.70,"244,084","251,551",-2.96,無
4746,台耀,"454,505","322,490","329,883",40.93,37.77,"1,911,098","1,574,028",21.41,無
4771,望隼,"260,177","251,239","188,916",3.55,37.72,"1,279,449","856,040",49.46,無
6446,藥華藥,"790,639","667,420","418,256",18.46,89.03,"3,111,498","1,643,317",89.34,本月及本年累計營收較去年成長，主要來自認列美國子公司PharmaEssentia USA Corp.之營收。
6491,晶碩,"612,955","516,280","552,971",18.72,10.84,"2,854,356","2,519,210",13.30,無
6534,正瀚-創,"127,720","205,820","173,554",-37.94,-26.40,"1,158,346","1,133,947",2.15,無
1906,寶隆,"295,479","266,732","368,689",10.77,-19.85,"1,498,015","1,373,928",9.03,無
1909,榮成,"4,347,142","4,191,139","4,054,407",3.72,7.22,"19,340,461","19,085,940",1.33,無
2006,東和鋼鐵,"5,170,293","5,209,338","5,624,599",-0.74,-8.07,"25,234,527","24,206,030",4.24,無
3004,豐達科,"293,430","295,066","234,238",-0.55,25.27,"1,423,557","1,162,308",22.47,無
2101,南港,"882,333","750,273","697,740",17.60,26.45,"3,606,172","2,999,781",20.21,"本公告係屬自結數,與會計師所出具之財報因匯率之故將存有略微差異,屆時請以財報為準."
2103,台橡,"2,943,675","2,874,609","2,639,850",2.40,11.50,"14,563,746","13,409,002",8.61,無
2241,艾姆勒,"58,812","54,118","70,039",8.67,-16.02,"297,977","307,826",-3.19,無
2258,鴻華先進-創,"1,316,729","1,271,889","60,586",3.52,2073.32,"3,410,779","169,155",1916.36,乘用車陸續交車，營收表現優於去年同期。
4551,智伸科,"649,907","602,890","665,218",7.79,-2.30,"2,889,136","3,092,138",-6.56,無
2408,南亞科,"3,351,375","3,206,471","2,309,037",4.51,45.14,"16,060,783","10,993,940",46.08,無
2436,偉詮電,"252,072","237,424","236,017",6.16,6.80,"1,154,506","1,015,367",13.70,無
3443,創意,"2,353,184","1,693,477","2,149,206",38.95,9.49,"9,737,032","10,692,458",-8.93,無
3530,晶相光,"154,691","134,395","136,585",15.10,13.25,"635,878","701,008",-9.29,無
4961,天鈺,"1,701,827","1,609,663","1,518,396",5.72,12.08,"7,034,397","6,923,855",1.59,無
4968,立積,"350,010","323,267","238,751",8.27,46.60,"1,534,012","1,121,427",36.79,無
5222,全訊,"115,543","107,693","110,164",7.28,4.88,"501,335","436,819",14.76,無
6257,矽格,"1,557,869","1,500,997","1,211,437",3.78,28.59,"7,220,808","6,026,985",19.80,無
6531,愛普*,"261,556","304,698","409,296",-14.15,-36.09,"1,311,748","1,448,186",-9.42,無
6756,威鋒電子,"160,442","159,331","203,819",0.69,-21.28,"711,434","769,196",-7.50,無
8028,昇陽半導體,"271,127","263,102","315,296",3.05,-14.00,"1,269,675","1,474,682",-13.90,無
2352,佳世達,"16,426,620","15,996,557","17,164,587",2.68,-4.29,"79,337,597","83,647,337",-5.15,無
2365,昆盈,"88,103","86,387","56,603",1.98,55.65,"398,141","297,111",34.00,來自本公司自有品牌的歐美區客戶訂單成長。
